image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
00000_8bit.png;366,340;439,225;412,258;393,296;352,317;317,320;278,331;303,384;352,78;381,126;353,181;321,185;273,150;308,101
00001_8bit.png;365,340;439,227;413,258;394,296;352,318;317,320;278,331;301,384;352,79;381,126;353,181;321,185;273,149;309,101
00002_8bit.png;364,340;438,231;413,259;393,296;352,318;316,320;277,330;296,385;352,78;380,126;353,181;321,185;273,149;309,100
00003_8bit.png;363,341;438,235;413,259;393,297;352,318;316,320;276,329;287,388;351,79;380,126;353,181;321,185;274,148;309,100
00004_8bit.png;362,341;437,239;414,260;393,297;352,318;316,320;276,330;275,390;351,78;379,125;353,181;321,185;274,148;309,99
00005_8bit.png;361,341;435,247;414,261;393,298;352,318;315,320;274,329;261,388;351,78;379,125;353,181;321,185;276,146;309,97
00006_8bit.png;361,342;434,255;415,263;392,299;351,319;314,320;271,328;248,383;351,77;378,126;353,182;321,186;277,146;309,96
00007_8bit.png;360,344;434,265;414,265;391,300;350,320;312,320;268,326;237,374;350,76;376,127;353,182;322,186;278,145;310,96
00008_8bit.png;360,345;435,275;415,268;390,302;349,320;310,320;265,323;230,364;351,75;375,127;354,183;322,186;279,144;310,95
00009_8bit.png;360,346;441,287;415,270;390,303;348,321;308,319;264,318;231,353;351,73;373,126;354,183;322,186;280,144;311,95
00010_8bit.png;360,347;445,295;416,272;389,304;348,321;307,319;264,316;230,348;351,72;373,126;355,183;323,186;280,144;311,95
00011_8bit.png;360,348;451,303;417,273;390,304;348,321;307,318;265,314;234,342;351,71;372,126;355,183;323,186;280,145;311,96
00012_8bit.png;360,349;454,311;418,273;391,304;349,321;308,318;266,313;239,341;351,69;371,125;355,183;323,186;280,144;311,95
00013_8bit.png;360,349;457,320;421,275;392,304;351,321;310,318;266,312;236,346;349,69;370,124;355,182;323,186;283,142;312,92
00014_8bit.png;360,350;457,323;422,277;392,305;351,321;310,318;266,311;232,353;349,68;370,124;355,182;324,186;285,141;313,89
00015_8bit.png;360,349;459,323;421,278;391,305;350,322;309,317;268,309;232,355;350,69;370,124;355,181;323,185;287,139;314,87
00016_8bit.png;359,349;461,323;420,279;390,306;349,321;309,316;272,308;248,361;350,69;369,123;354,181;322,185;286,138;314,87
00017_8bit.png;357,348;463,322;421,280;389,305;348,321;310,318;270,317;246,371;349,70;366,122;350,180;318,185;281,139;316,92
00018_8bit.png;356,347;465,319;420,279;388,305;348,320;309,318;269,318;243,371;349,69;365,122;349,180;317,184;275,143;318,101
